Sex,Age,Eng1,Math1,Phy1,Chem1,Bio1,Eng2,Math2,Phy2,Chem2,Bio2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Eng3,Math3,Phy3,Chem3,Bio3
F,16.0,78.0,78.0,74.0,82.0,89.0,85.0,59.0,72.0,68.0,81.0,Very Good,Mother and Father,Less Than 5000,Diploma,No,3.5-4,Trading,Yes,68.0,74.0,64.0,85.0,86.0
M,16.0,82.0,62.0,57.0,83.0,93.0,75.0,64.0,78.0,70.0,85.0,Very Good,Siblings,5000-10000,Masters,No,3-3.5,Civil Servant,Yes,58.0,79.0,75.0,69.0,74.0
F,18.0,46.0,49.0,38.0,59.0,74.0,54.0,58.0,54.0,60.0,54.0,Good,Mother Only,Less Than 5000,Degree,Yes,3.5-4,Trading,Yes,36.0,55.0,41.0,59.0,78.0
M,22.0,56.0,38.0,41.0,57.0,55.0,58.0,62.0,55.0,61.0,56.0,Very Good,Siblings,More Than 20000,Masters,No,3-3.5,Trading,Yes,36.0,49.0,47.0,64.0,53.0
M,18.0,59.0,47.0,50.0,57.0,61.0,57.0,55.0,60.0,50.0,58.0,Excellent,Father Only,Less Than 5000,No Education,No,2.5-3,Trading,Yes,40.0,58.0,58.0,71.0,77.0
F,18.0,52.0,56.0,50.0,60.0,59.0,58.0,62.0,80.0,65.0,72.0,Good,Mother Only,5000-10000,Degree,Yes,2.5-3,Civil Servant,Yes,42.0,65.0,54.0,60.0,53.0
F,18.0,54.0,52.0,53.0,65.0,73.0,58.0,61.0,60.0,62.0,55.0,Good,Siblings,Less Than 5000,Diploma,No,2.5-3,Civil Servant,Yes,42.0,65.0,54.0,60.0,53.0
M,17.0,57.0,41.0,55.0,50.0,67.0,59.0,52.0,50.0,65.0,50.0,Very Good,Siblings,10000-20000,Degree,No,3-3.5,Trading,Yes,39.0,58.0,51.0,52.0,52.0
M,17.0,59.0,59.0,50.0,80.0,74.0,60.0,72.0,57.0,67.0,84.0,Very Good,Mother and Father,5000-10000,Degree,Yes,2.5-3,Military,Yes,47.0,73.0,73.0,69.0,67.0
M,17.0,47.0,45.0,26.0,59.0,68.0,48.0,55.0,50.0,63.0,52.0,Very Good,Mother and Father,10000-20000,Degree,No,3.5-4,Civil Servant,No,34.0,52.0,45.0,53.0,56.0
M,18.0,50.0,54.0,39.0,42.0,58.0,46.0,57.0,50.0,44.0,50.0,Good,Mother Only,5000-10000,Masters,No,3-3.5,Trading,Yes,38.0,58.0,42.0,57.0,65.0
M,17.0,50.0,54.0,50.0,55.0,64.0,65.0,56.0,62.0,55.0,62.0,Good,Mother Only,More Than 20000,Masters,No,3-3.5,Civil Servant,Yes,39.0,49.0,36.0,56.0,65.0
F,17.0,48.0,49.0,38.0,50.0,66.0,44.0,56.0,50.0,50.0,58.0,Good,Mother Only,Less Than 5000,Diploma,Yes,2.5-3,Trading,Yes,42.0,61.0,43.0,56.0,70.0
F,17.0,44.0,46.0,50.0,37.0,56.0,54.0,58.0,60.0,51.0,53.0,Good,Mother Only,Less Than 5000,Masters,Yes,3.5-4,Civil Servant,Yes,50.0,62.0,45.0,54.0,76.0
M,17.0,49.0,52.0,50.0,68.0,62.0,62.0,59.0,57.0,58.0,59.0,Good,Father Only,5000-10000,High SchoolDropout,Yes,2-2.5,Civil Servant,Yes,37.0,66.0,45.0,51.0,61.0
F,17.0,50.0,54.0,40.0,45.0,53.0,54.0,42.0,36.0,56.0,51.0,Very Good,Mother and Father,Less Than 5000,Degree,Yes,3-3.5,Civil Servant,Yes,37.0,66.0,45.0,51.0,61.0
F,17.0,46.0,44.0,46.0,52.0,58.0,47.0,62.0,36.0,54.0,47.0,Good,Mother and Father,Less Than 5000,Diploma,Yes,3-3.5,Civil Servant,Yes,39.0,59.0,47.0,57.0,58.0
F,17.0,44.0,48.0,51.0,50.0,50.0,55.0,49.0,50.0,54.0,63.0,Excellent,Mother and Father,More Than 20000,Masters,Yes,3.5-4,Artisan,Yes,44.0,50.0,40.0,55.0,45.0
F,18.0,50.0,55.0,50.0,37.0,57.0,62.0,53.0,58.0,62.0,66.0,Good,Mother and Father,Less Than 5000,Masters,No,3-3.5,Civil Servant,Yes,41.0,55.0,43.0,62.0,67.0
F,17.0,48.0,49.0,50.0,65.0,64.0,57.0,65.0,56.0,44.0,39.0,Good,Mother and Father,More Than 20000,Masters,Yes,2.5-3,Trading,Yes,36.0,45.0,40.0,53.0,54.0
F,18.0,53.0,54.0,50.0,61.0,58.0,53.0,65.0,50.0,60.0,60.0,Very Good,Siblings,Less Than 5000,Masters,Yes,3-3.5,Civil Servant,Yes,41.0,56.0,40.0,58.0,43.0
F,17.0,40.0,49.0,52.0,45.0,45.0,56.0,52.0,54.0,55.0,46.0,Good,Father Only,5000-10000,PhD,Yes,2-2.5,Civil Servant,Yes,39.0,53.0,46.0,50.0,49.0
F,17.0,50.0,47.0,59.0,59.0,45.0,50.0,51.0,55.0,58.0,55.0,Good,Mother and Father,Less Than 5000,No Education,Yes,2-2.5,Trading,Yes,39.0,54.0,52.0,57.0,68.0
F,18.0,58.0,45.0,50.0,61.0,52.0,62.0,57.0,59.0,59.0,55.0,Excellent,Mother and Father,Less Than 5000,Degree,Yes,2-2.5,Civil Servant,Yes,44.0,64.0,53.0,52.0,51.0
F,19.0,54.0,50.0,53.0,59.0,58.0,56.0,46.0,51.0,53.0,60.0,Excellent,Mother and Father,Less Than 5000,Degree,Yes,3.5-4,Civil Servant,Yes,38.0,51.0,49.0,64.0,44.0
F,18.0,47.0,55.0,42.0,55.0,48.0,67.0,39.0,58.0,54.0,51.0,Excellent,Mother Only,10000-20000,PhD,Yes,2.5-3,Artisan,Yes,43.0,52.0,38.0,63.0,37.0
M,18.0,86.0,97.0,88.0,97.0,99.0,87.0,92.0,86.0,94.0,88.0,Good,Siblings,5000-10000,Masters,No,3.5-4,Civil Servant,Yes,84.0,94.0,86.0,86.0,88.0
M,18.0,74.0,87.0,82.0,82.0,95.0,72.0,80.0,77.0,85.0,74.0,Good,Mother and Father,5000-10000,High School,No,3.5-4,Trading,Yes,84.0,94.0,86.0,86.0,88.0
M,18.0,50.0,50.0,56.0,50.0,53.0,50.0,50.0,53.0,50.0,61.0,Excellent,Father Only,10000-20000,Masters,No,2-2.5,Artisan,Yes,55.0,40.0,45.0,44.0,48.0
M,16.0,85.0,93.0,77.0,89.0,86.0,80.0,88.0,83.0,88.0,84.0,Good,Mother and Father,Less Than 5000,No Education,No,3.5-4,Trading,Yes,71.0,76.0,80.0,74.0,87.0
F,16.0,52.0,57.0,61.0,55.0,74.0,66.0,60.0,57.0,68.0,74.0,Good,Mother and Father,Less Than 5000,Degree,No,3-3.5,Civil Servant,Yes,67.0,50.0,63.0,55.0,66.0
M,17.0,82.0,94.0,86.0,76.0,82.0,79.0,83.0,79.0,90.0,80.0,Good,Mother and Father,Less Than 5000,No Education,No,3.5-4,Trading,Yes,75.0,69.0,81.0,70.0,82.0
F,16.0,72.0,52.0,55.0,43.0,68.0,72.0,48.0,64.0,58.0,64.0,Very Good,Mother and Father,Less Than 5000,Masters,Yes,2.5-3,Civil Servant,Yes,56.0,44.0,69.0,54.0,66.0
M,16.0,76.0,80.0,70.0,68.0,89.0,76.0,78.0,74.0,93.0,94.0,Good,Mother Only,5000-10000,Degree,No,3.5-4,Civil Servant,Yes,66.0,77.0,82.0,71.0,80.0
M,17.0,64.0,48.0,57.0,50.0,59.0,68.0,55.0,55.0,50.0,64.0,Good,Mother and Father,Less Than 5000,Degree,Yes,3-3.5,Civil Servant,Yes,55.0,46.0,50.0,50.0,40.0
M,17.0,60.0,43.0,50.0,50.0,43.0,74.0,58.0,57.0,50.0,72.0,Good,Mother Only,5000-10000,Diploma,Yes,3-3.5,Civil Servant,Yes,53.0,38.0,52.0,47.0,48.0
F,17.0,81.0,75.0,64.0,59.0,78.0,63.0,65.0,62.0,77.0,77.0,Satisfactory,Mother Only,Less Than 5000,Diploma,No,3-3.5,Civil Servant,No,56.0,70.0,65.0,58.0,56.0
F,17.0,92.0,89.0,69.0,74.0,88.0,94.0,63.0,68.0,74.0,86.0,Very Good,Mother Only,Less Than 5000,High SchoolDropout,Yes,3.5-4,Civil Servant,Yes,82.0,68.0,64.0,65.0,87.0
F,18.0,62.0,56.0,50.0,45.0,66.0,52.0,57.0,59.0,71.0,73.0,Good,I Live Alone,10000-20000,Degree,Yes,2.5-3,Trading,Yes,43.0,47.0,46.0,53.0,66.0
M,19.0,62.0,56.0,60.0,43.0,65.0,64.0,59.0,57.0,72.0,66.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3.5-4,Artisan,Yes,40.0,58.0,44.0,48.0,68.0
M,17.0,79.0,90.0,67.0,71.0,75.0,69.0,66.0,62.0,75.0,79.0,Very Good,Mother and Father,5000-10000,Masters,No,3.5-4,Civil Servant,Yes,70.0,74.0,72.0,66.0,76.0
F,17.0,56.0,50.0,56.0,41.0,62.0,60.0,54.0,58.0,76.0,67.0,Good,Mother Only,Less Than 5000,Degree,No,2.5-3,Trading,Yes,64.0,56.0,55.0,65.0,58.0
M,18.0,69.0,77.0,76.0,68.0,75.0,80.0,66.0,60.0,72.0,75.0,Good,Mother Only,Less Than 5000,High School,No,3-3.5,Trading,Yes,68.0,64.0,61.0,70.0,63.0
F,16.0,73.0,83.0,68.0,74.0,81.0,79.0,81.0,65.0,75.0,81.0,Very Good,Mother and Father,Less Than 5000,No Education,Yes,3.5-4,Trading,Yes,62.0,71.0,72.0,75.0,70.0
F,17.0,63.0,55.0,60.0,52.0,62.0,60.0,52.0,57.0,71.0,65.0,Very Good,Mother Only,5000-10000,High SchoolDropout,No,3-3.5,Civil Servant,Yes,52.0,57.0,48.0,60.0,58.0
M,17.0,72.0,53.0,60.0,50.0,68.0,53.0,59.0,59.0,59.0,65.0,Satisfactory,Mother and Father,5000-10000,Degree,No,3.5-4,Trading,No,51.0,54.0,42.0,43.0,38.0
F,19.0,71.0,56.0,67.0,36.0,69.0,62.0,67.0,59.0,71.0,61.0,Good,Mother Only,Less Than 5000,No Education,No,2.5-3,Military,Yes,54.0,69.0,52.0,57.0,57.0
M,16.0,73.0,91.0,67.0,78.0,76.0,66.0,75.0,80.0,88.0,83.0,Very Good,Mother Only,Less Than 5000,No Education,Yes,3.5-4,Trading,Yes,69.0,81.0,82.0,78.0,90.0
F,18.0,66.0,72.0,57.0,40.0,71.0,60.0,71.0,53.0,72.0,61.0,Excellent,Mother and Father,5000-10000,Masters,Yes,2-2.5,Civil Servant,Yes,60.0,64.0,55.0,61.0,61.0
F,17.0,62.0,55.0,56.0,46.0,57.0,62.0,73.0,61.0,67.0,72.0,Good,Mother and Father,5000-10000,Degree,Yes,2.5-3,Civil Servant,Yes,56.0,68.0,60.0,61.0,46.0
M,17.0,45.0,80.0,70.0,44.0,61.0,56.0,73.0,66.0,73.0,62.0,Good,Siblings,Less Than 5000,Degree,No,2.5-3,Civil Servant,Yes,46.0,81.0,80.0,62.0,53.0
F,18.0,76.0,100.0,85.0,89.0,97.0,93.0,94.0,83.0,97.0,95.0,Very Good,Mother and Father,Less Than 5000,No Education,No,3.5-4,Civil Servant,Yes,79.0,92.0,91.0,91.0,93.0
M,17.0,72.0,82.0,63.0,54.0,74.0,74.0,61.0,62.0,64.0,61.0,Good,Mother Only,Less Than 5000,Masters,Yes,2-2.5,Military,Yes,48.0,59.0,68.0,60.0,52.0
M,17.0,69.0,56.0,64.0,45.0,68.0,70.0,59.0,59.0,78.0,61.0,Good,Mother and Father,Less Than 5000,No Education,No,3-3.5,Civil Servant,No,40.0,54.0,50.0,56.0,57.0
F,17.0,72.0,63.0,62.0,66.0,67.0,61.0,70.0,60.0,79.0,67.0,Excellent,Mother and Father,Less Than 5000,High School,Yes,3-3.5,Trading,Yes,56.0,70.0,70.0,65.0,56.0
M,17.0,62.0,60.0,58.0,68.0,70.0,58.0,57.0,54.0,72.0,59.0,Good,Mother and Father,5000-10000,Degree,No,3-3.5,Civil Servant,No,50.0,50.0,45.0,57.0,53.0
M,16.0,61.0,45.0,53.0,53.0,65.0,64.0,61.0,51.0,69.0,65.0,Good,Mother and Father,5000-10000,High School,No,2.5-3,Trading,Yes,55.0,60.0,45.0,62.0,40.0
F,17.0,65.0,56.0,57.0,49.0,72.0,56.0,66.0,56.0,63.0,62.0,Excellent,Mother Only,More Than 20000,Masters,Yes,3.5-4,Artisan,Yes,55.0,69.0,44.0,63.0,62.0
M,18.0,62.0,77.0,64.0,65.0,78.0,66.0,68.0,53.0,73.0,67.0,Very Good,Mother Only,Less Than 5000,Degree,No,3-3.5,Civil Servant,Yes,61.0,75.0,39.0,58.0,50.0
F,17.0,54.0,58.0,57.0,43.0,66.0,67.0,70.0,54.0,68.0,62.0,Good,Mother and Father,Less Than 5000,Degree,No,3-3.5,Civil Servant,Yes,58.0,58.0,47.0,63.0,61.0
F,17.0,62.0,64.0,61.0,50.0,71.0,63.0,59.0,57.0,76.0,68.0,Very Good,Mother and Father,Less Than 5000,No Education,No,2.5-3,Military,Yes,56.0,62.0,50.0,60.0,61.0
M,17.0,75.0,99.0,82.0,91.0,91.0,76.0,96.0,83.0,97.0,95.0,Satisfactory,Mother and Father,5000-10000,Diploma,No,3.5-4,Trading,Yes,65.0,94.0,90.0,86.0,93.0
M,17.0,62.0,48.0,67.0,56.0,77.0,58.0,59.0,51.0,55.0,74.0,Good,Mother and Father,10000-20000,High SchoolDropout,No,2.5-3,Military,No,18.0,33.0,37.0,34.0,46.0
M,16.0,72.0,52.0,69.0,57.0,77.0,61.0,63.0,53.0,67.0,59.0,Good,Mother and Father,5000-10000,High SchoolDropout,No,2.5-3,Trading,No,36.0,43.0,41.0,37.0,80.0
F,16.0,60.0,52.0,63.0,52.0,73.0,58.0,60.0,54.0,61.0,56.0,Good,Mother and Father,Less Than 5000,Degree,No,3-3.5,Military,Yes,23.0,36.0,57.0,37.0,47.0
M,18.0,58.0,48.0,52.0,52.0,72.0,58.0,59.0,56.0,68.0,53.0,Satisfactory,Siblings,5000-10000,High SchoolDropout,No,3-3.5,Artisan,No,38.0,37.0,42.0,39.0,45.0
M,18.0,59.0,50.0,59.0,50.0,58.0,63.0,63.0,52.0,63.0,56.0,Good,Other Relatives,10000-20000,No Education,Yes,2.5-3,Artisan,No,30.0,34.0,38.0,30.0,33.0
F,16.0,68.0,57.0,60.0,54.0,58.0,63.0,61.0,50.0,62.0,56.0,Good,Mother and Father,Less Than 5000,Masters,No,3.5-4,Civil Servant,Yes,38.0,37.0,42.0,33.0,41.0
F,18.0,83.0,61.0,72.0,69.0,78.0,83.0,70.0,70.0,73.0,87.0,Very Good,Mother and Father,Less Than 5000,High SchoolDropout,No,3.5-4,Trading,Yes,61.0,45.0,68.0,59.0,79.0
F,16.0,50.0,47.0,64.0,58.0,80.0,64.0,54.0,54.0,44.0,60.0,Good,Siblings,5000-10000,No Education,No,3-3.5,Trading,Yes,39.0,48.0,65.0,50.0,59.0
F,16.0,78.0,49.0,62.0,59.0,81.0,79.0,68.0,62.0,76.0,80.0,Good,Other Relatives,5000-10000,Diploma,No,3-3.5,Civil Servant,Yes,61.0,49.0,70.0,58.0,68.0
F,19.0,61.0,54.0,56.0,57.0,48.0,50.0,73.0,56.0,65.0,60.0,Good,Other Relatives,Less Than 5000,No Education,Yes,3-3.5,Military,Yes,34.0,39.0,54.0,48.0,51.0
F,17.0,56.0,50.0,58.0,50.0,56.0,59.0,53.0,60.0,63.0,67.0,Good,Mother Only,5000-10000,No Education,Yes,3-3.5,Trading,Yes,32.0,56.0,50.0,52.0,57.0
F,19.0,63.0,43.0,63.0,55.0,75.0,52.0,63.0,58.0,60.0,70.0,Good,Mother and Father,Less Than 5000,No Education,Yes,3-3.5,Trading,Yes,38.0,49.0,56.0,55.0,44.0
M,16.0,65.0,47.0,60.0,53.0,73.0,54.0,59.0,58.0,60.0,57.0,Excellent,Siblings,10000-20000,High School,Yes,3-3.5,Trading,No,35.0,34.0,62.0,39.0,39.0
F,16.0,76.0,66.0,69.0,57.0,90.0,83.0,78.0,76.0,67.0,87.0,Good,Mother Only,5000-10000,Diploma,No,3-3.5,Civil Servant,No,57.0,86.0,77.0,74.0,86.0
F,17.0,55.0,46.0,50.0,44.0,52.0,49.0,58.0,54.0,58.0,57.0,Good,Mother Only,Less Than 5000,No Education,No,3-3.5,Civil Servant,No,41.0,53.0,55.0,59.0,66.0
F,17.0,67.0,48.0,53.0,50.0,57.0,64.0,56.0,69.0,50.0,54.0,Satisfactory,Other Relatives,5000-10000,Masters,No,3-3.5,Artisan,Yes,35.0,46.0,60.0,50.0,41.0
F,18.0,68.0,60.0,67.0,57.0,57.0,63.0,62.0,65.0,50.0,70.0,Satisfactory,Siblings,5000-10000,High SchoolDropout,No,3-3.5,Civil Servant,Yes,55.0,42.0,55.0,46.0,69.0
F,18.0,59.0,50.0,56.0,61.0,78.0,56.0,50.0,56.0,59.0,55.0,Good,Mother and Father,Less Than 5000,High School,No,3-3.5,Civil Servant,Yes,30.0,32.0,60.0,50.0,54.0
M,17.0,80.0,96.0,86.0,90.0,98.0,86.0,89.0,84.0,94.0,96.0,Satisfactory,Mother Only,Less Than 5000,High School,No,3.5-4,Trading,Yes,71.0,89.0,87.0,85.0,98.0
F,17.0,49.0,47.0,62.0,57.0,79.0,56.0,62.0,58.0,59.0,60.0,Excellent,Mother and Father,10000-20000,Degree,Yes,3-3.5,Trading,Yes,54.0,56.0,60.0,51.0,60.0
M,17.0,52.0,46.0,57.0,59.0,69.0,57.0,66.0,56.0,56.0,56.0,Good,Mother and Father,10000-20000,High School,Yes,3-3.5,Civil Servant,Yes,37.0,29.0,50.0,45.0,44.0
F,17.0,66.0,69.0,62.0,52.0,64.0,70.0,83.0,66.0,74.0,82.0,Satisfactory,Mother and Father,Less Than 5000,No Education,No,3-3.5,Trading,No,45.0,60.0,60.0,55.0,65.0
F,16.0,58.0,57.0,50.0,51.0,61.0,51.0,52.0,50.0,58.0,42.0,Very Good,Mother and Father,5000-10000,Degree,Yes,2.5-3,Civil Servant,Yes,40.0,50.0,65.0,54.0,53.0
M,17.0,67.0,52.0,59.0,54.0,64.0,49.0,54.0,67.0,56.0,65.0,Good,Mother and Father,Less Than 5000,High School,No,2.5-3,Civil Servant,Yes,38.0,51.0,58.0,35.0,52.0
M,18.0,65.0,48.0,55.0,48.0,63.0,38.0,57.0,77.0,62.0,61.0,Excellent,Siblings,Less Than 5000,No Education,Yes,3-3.5,Trading,Yes,34.0,45.0,73.0,50.0,54.0
F,18.0,63.0,44.0,58.0,55.0,67.0,64.0,56.0,62.0,52.0,63.0,Excellent,Mother and Father,10000-20000,High SchoolDropout,No,3-3.5,Trading,Yes,46.0,41.0,70.0,52.0,53.0
M,18.0,62.0,62.0,65.0,60.0,67.0,64.0,66.0,61.0,60.0,73.0,Good,Mother and Father,5000-10000,No Education,No,3-3.5,Trading,Yes,53.0,47.0,75.0,50.0,57.0
F,17.0,59.0,48.0,52.0,50.0,51.0,50.0,66.0,57.0,50.0,53.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,51.0,44.0,42.0,44.0,50.0
M,18.0,58.0,52.0,61.0,63.0,65.0,48.0,68.0,67.0,55.0,74.0,Good,Mother and Father,Less Than 5000,No Education,No,3-3.5,Trading,Yes,61.0,49.0,43.0,50.0,83.0
F,16.0,54.0,55.0,61.0,50.0,63.0,67.0,57.0,56.0,52.0,47.0,Very Good,Father Only,Less Than 5000,No Education,No,3-3.5,Trading,No,51.0,51.0,45.0,33.0,52.0
F,18.0,64.0,51.0,55.0,50.0,51.0,62.0,63.0,61.0,63.0,61.0,Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Trading,Yes,53.0,50.0,48.0,51.0,75.0
F,17.0,64.0,43.0,69.0,52.0,55.0,64.0,69.0,58.0,65.0,64.0,Excellent,I Live Alone,More Than 20000,Degree,Yes,3.5-4,Artisan,Yes,55.0,44.0,45.0,44.0,50.0
F,16.0,71.0,48.0,56.0,47.0,62.0,68.0,60.0,62.0,59.0,68.0,Very Good,Mother Only,Less Than 5000,Degree,Yes,2.5-3,Civil Servant,Yes,61.0,49.0,48.0,40.0,52.0
M,16.0,71.0,67.0,62.0,69.0,71.0,60.0,56.0,49.0,63.0,57.0,Very Good,Mother and Father,5000-10000,High SchoolDropout,Yes,3.5-4,Trading,Yes,58.0,57.0,50.0,50.0,61.0
M,17.0,64.0,58.0,54.0,55.0,64.0,65.0,51.0,63.0,60.0,65.0,Excellent,Mother and Father,Less Than 5000,Diploma,Yes,3-3.5,Trading,Yes,60.0,44.0,45.0,54.0,69.0
F,16.0,64.0,57.0,71.0,57.0,75.0,63.0,52.0,66.0,65.0,65.0,Good,Mother Only,Less Than 5000,Masters,Yes,2.5-3,Civil Servant,Yes,57.0,58.0,44.0,49.0,64.0
M,17.0,52.0,64.0,66.0,74.0,64.0,56.0,64.0,70.0,54.0,58.0,Good,Mother and Father,More Than 20000,Masters,Yes,2.5-3,Civil Servant,Yes,56.0,48.0,56.0,48.0,61.0
F,17.0,71.0,77.0,65.0,58.0,75.0,70.0,71.0,65.0,60.0,60.0,Satisfactory,Mother and Father,Less Than 5000,High School,No,3-3.5,Trading,Yes,64.0,62.0,54.0,52.0,58.0
F,16.0,78.0,67.0,69.0,70.0,65.0,73.0,57.0,65.0,78.0,70.0,Very Good,Other Relatives,Less Than 5000,No Education,No,3-3.5,Trading,Yes,71.0,59.0,61.0,71.0,71.0
M,17.0,55.0,60.0,67.0,57.0,64.0,60.0,51.0,54.0,52.0,48.0,Good,Mother and Father,5000-10000,Degree,No,2.5-3,Civil Servant,Yes,60.0,53.0,35.0,50.0,70.0
M,16.0,69.0,59.0,56.0,49.0,62.0,62.0,61.0,68.0,62.0,61.0,Excellent,Siblings,5000-10000,Degree,Yes,3-3.5,Artisan,Yes,55.0,52.0,40.0,34.0,69.0
F,17.0,60.0,54.0,61.0,63.0,67.0,58.0,66.0,58.0,54.0,42.0,Good,Mother and Father,5000-10000,Masters,Yes,3-3.5,Trading,Yes,54.0,46.0,40.0,44.0,45.0
F,17.0,55.0,57.0,62.0,52.0,50.0,54.0,61.0,61.0,56.0,50.0,Very Good,Mother and Father,5000-10000,Masters,Yes,3-3.5,Trading,Yes,57.0,42.0,39.0,60.0,50.0
M,16.0,61.0,64.0,59.0,49.0,54.0,56.0,66.0,66.0,69.0,62.0,Excellent,I Live Alone,Less Than 5000,Masters,Yes,2.5-3,Trading,Yes,44.0,65.0,40.0,40.0,50.0
M,16.0,65.0,58.0,52.0,49.0,76.0,55.0,63.0,61.0,61.0,65.0,Good,Mother and Father,5000-10000,Masters,Yes,2.5-3,Trading,Yes,50.0,45.0,55.0,60.0,50.0
F,17.0,66.0,50.0,51.0,61.0,55.0,56.0,66.0,69.0,62.0,71.0,Very Good,Mother Only,Less Than 5000,High School,Yes,3-3.5,Civil Servant,Yes,50.0,45.0,55.0,60.0,50.0
F,17.0,66.0,48.0,57.0,58.0,67.0,52.0,66.0,66.0,57.0,54.0,Very Good,Mother and Father,5000-10000,High School,Yes,3-3.5,Artisan,Yes,66.0,29.0,44.0,49.0,53.0
F,16.0,88.0,66.0,53.0,65.0,84.0,84.0,53.0,56.0,59.0,79.0,Good,Mother and Father,5000-10000,Degree,Yes,3.5-4,Civil Servant,Yes,84.0,47.0,47.0,48.0,74.0
M,16.0,65.0,48.0,56.0,51.0,56.0,50.0,61.0,60.0,54.0,69.0,Good,Mother and Father,More Than 20000,No Education,Yes,2.5-3,Military,Yes,60.0,44.0,35.0,29.0,57.0
F,17.0,78.0,85.0,78.0,84.0,82.0,75.0,82.0,72.0,88.0,89.0,Good,Siblings,5000-10000,Degree,No,3-3.5,Civil Servant,Yes,70.0,78.0,70.0,82.0,58.0
F,17.0,59.0,50.0,57.0,62.0,61.0,59.0,66.0,63.0,54.0,55.0,Very Good,I Live Alone,Less Than 5000,PhD,No,3-3.5,Civil Servant,Yes,61.0,45.0,42.0,50.0,65.0
F,18.0,58.0,48.0,55.0,61.0,63.0,46.0,52.0,52.0,45.0,67.0,Good,Mother and Father,Less Than 5000,No Education,No,2.5-3,Trading,Yes,58.0,37.0,42.0,51.0,51.0
M,16.0,68.0,83.0,79.0,74.0,71.0,65.0,83.0,78.0,80.0,84.0,Satisfactory,Mother Only,Less Than 5000,No Education,No,2.5-3,Civil Servant,Yes,77.0,84.0,87.0,77.0,76.0
M,16.0,79.0,61.0,69.0,65.0,69.0,78.0,59.0,61.0,74.0,59.0,Very Good,Father Only,Less Than 5000,No Education,No,3-3.5,Military,Yes,83.0,41.0,52.0,53.0,64.0
M,16.0,67.0,59.0,69.0,53.0,52.0,67.0,53.0,61.0,54.0,51.0,Good,Mother and Father,Less Than 5000,No Education,No,2.5-3,Trading,Yes,70.0,44.0,42.0,55.0,59.0
M,17.0,62.0,61.0,67.0,74.0,79.0,55.0,60.0,65.0,68.0,64.0,Very Good,Mother and Father,5000-10000,PhD,Yes,3-3.5,Civil Servant,Yes,57.0,39.0,51.0,60.0,63.0
M,16.0,68.0,69.0,63.0,68.0,70.0,62.0,72.0,64.0,71.0,64.0,Excellent,Mother and Father,Less Than 5000,No Education,No,3.5-4,Civil Servant,Yes,65.0,64.0,46.0,65.0,77.0
F,17.0,55.0,44.0,45.0,58.0,57.0,68.0,56.0,63.0,55.0,59.0,Very Good,Mother and Father,5000-10000,Degree,Yes,2.5-3,Civil Servant,Yes,58.0,47.0,39.0,47.0,53.0
M,17.0,63.0,67.0,62.0,63.0,59.0,58.0,65.0,55.0,60.0,67.0,Very Good,I Live Alone,Less Than 5000,PhD,No,2.5-3,Civil Servant,Yes,64.0,46.0,50.0,36.0,82.0
M,17.0,61.0,63.0,54.0,54.0,68.0,52.0,66.0,67.0,53.0,63.0,Good,Father Only,10000-20000,High SchoolDropout,No,3-3.5,Trading,Yes,45.0,47.0,45.0,53.0,80.0
M,17.0,53.0,50.0,61.0,51.0,50.0,50.0,50.0,53.0,51.0,56.0,Satisfactory,Other Relatives,More Than 20000,Masters,Yes,2.5-3,Civil Servant,Yes,35.0,36.0,42.0,40.0,50.0
M,16.0,59.0,49.0,59.0,45.0,53.0,52.0,58.0,54.0,58.0,57.0,Good,Mother and Father,5000-10000,Diploma,Yes,2.5-3,Trading,Yes,49.0,26.0,44.0,47.0,47.0
M,18.0,82.0,87.0,74.0,72.0,77.0,92.0,85.0,71.0,87.0,81.0,Good,Siblings,Less Than 5000,Degree,No,3.5-4,Civil Servant,Yes,81.0,74.0,63.0,72.0,83.0
M,16.0,55.0,53.0,50.0,52.0,51.0,47.0,49.0,58.0,48.0,53.0,Satisfactory,Mother and Father,Less Than 5000,Masters,No,3-3.5,Civil Servant,Yes,51.0,32.0,41.0,25.0,40.0
M,18.0,62.0,50.0,53.0,50.0,50.0,45.0,50.0,55.0,50.0,51.0,Very Good,Siblings,Less Than 5000,No Education,Yes,2-2.5,Civil Servant,Yes,53.0,40.0,41.0,33.0,36.0
M,18.0,50.0,50.0,58.0,50.0,40.0,50.0,50.0,52.0,50.0,60.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Military,Yes,42.0,44.0,42.0,16.0,36.0
F,17.0,57.0,52.0,64.0,52.0,51.0,53.0,65.0,62.0,54.0,52.0,Good,Siblings,5000-10000,Masters,No,2.5-3,Trading,Yes,45.0,38.0,40.0,49.0,46.0
F,16.0,66.0,50.0,60.0,45.0,50.0,54.0,50.0,58.0,58.0,60.0,Good,Father Only,5000-10000,Degree,Yes,2.5-3,Civil Servant,Yes,41.0,46.0,40.0,44.0,35.0
